"instrument","field","sample","scale","shipped","source","anchor","kind","disposition","generated","script_commit","data_commit"
"iei","Items","—","PA","1, 2, 3, 4, 5, 6, 7, 8","not-published-in-source","the 64 items are 'detailed in Supplemental Table S2' (p. 6), which is not part of the article; Table 1 prints one example item per octant","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Items","—","BC","9, 10, 11, 12, 13, 14, 15, 16","not-published-in-source","the 64 items are 'detailed in Supplemental Table S2' (p. 6), which is not part of the article; Table 1 prints one example item per octant","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Items","—","DE","17, 18, 19, 20, 21, 22, 23, 24","not-published-in-source","the 64 items are 'detailed in Supplemental Table S2' (p. 6), which is not part of the article; Table 1 prints one example item per octant","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Items","—","FG","25, 26, 27, 28, 29, 30, 31, 32","not-published-in-source","the 64 items are 'detailed in Supplemental Table S2' (p. 6), which is not part of the article; Table 1 prints one example item per octant","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Items","—","HI","33, 34, 35, 36, 37, 38, 39, 40","not-published-in-source","the 64 items are 'detailed in Supplemental Table S2' (p. 6), which is not part of the article; Table 1 prints one example item per octant","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Items","—","JK","41, 42, 43, 44, 45, 46, 47, 48","not-published-in-source","the 64 items are 'detailed in Supplemental Table S2' (p. 6), which is not part of the article; Table 1 prints one example item per octant","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Items","—","LM","49, 50, 51, 52, 53, 54, 55, 56","not-published-in-source","the 64 items are 'detailed in Supplemental Table S2' (p. 6), which is not part of the article; Table 1 prints one example item per octant","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Items","—","NO","57, 58, 59, 60, 61, 62, 63, 64","not-published-in-source","the 64 items are 'detailed in Supplemental Table S2' (p. 6), which is not part of the article; Table 1 prints one example item per octant","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iei","Population","2","—","American crowdworkers","278 adults at least 18 years old, English-speaking and residing in the United States, recruited and compensated via prolific.com","p. 12, Participants, 'Participants who were at least 18 years old, English-speaking, and residing in the United States were recruited and compensated via the prolific.com platform'","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"igicr","Population","1","—","American community adolescents (age 11-13), overall","a community sample of 387 early adolescents from Erie County, New York, aged 11 to 13 (M = 11.60, SD = 0.55), 55.0% female and 83.1% Caucasian","p. 100, Sample, 'This community sample of 387 early adolescents was part of a larger 3-year longitudinal study', with the age, gender and race percentages from Table 1, p. 100","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"igicr","Population","2","—","American community adolescents (age 11-13), males","the 174 male members of that community sample","Table 3, p. 102, 'Males' column heading and its note 'Males n = 174'; the article gives no demographics for this half separately from the combined sample described on p. 100","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"igicr","Population","3","—","American community adolescents (age 11-13), females","the 213 female members of that community sample","Table 3, p. 102, 'Females' column heading and its note 'Females n = 213'; the article gives no demographics for this half separately from the combined sample described on p. 100","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"iipsc","Population","1","—","American college students","872 college undergraduates pooled across two samples: 475 (65% women) from a large Southwestern university, modal age 18 (range 18-23), and 397 (51% women) from a Midwestern University, modal age 18 (range 18-33); more than 80% White in both","p. 615, Sample 1, 'The IIP-SC was administered to 475 (65% women) undergraduates from a large Southwestern university whose modal age was 18 years (range = 18-23)', and Sample 2, 'We administered the full IIP-C to 397 college undergraduates (51% women) from a Midwestern University'","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"iipsc","Population","2","—","American psychiatric outpatients","patients seen in nine outpatient clinics of Harvard Community Health Plan, mean age 32.1 years (range 18-60), 93% White","p. 55, 'seen in nine outpatient clinics of HCHP (Generic Outpatient sample)', 'This sample had a mean age of 32.1 years (range = 18-60 years). The sample was 93% White'","mismatch","intended-deviation","2026-08-07","efac537c","efac537c"
"iipsc","URL","2","—","https://doi.org/10.1177/1073191195002001006","not-published-in-source","no DOI or URL is printed anywhere in the article; the shipped DOI 10.1177/1073191195002001006 is a later-assigned SAGE identifier, consistent with the printed volume 2, number 1, but the article predates it","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iipsc","Angle","—","PA","90","not-published-in-source","no assigned degree per octant is printed; the article reports angular deviations from expected locations, which are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iipsc","Angle","—","BC","135","not-published-in-source","no assigned degree per octant is printed; the article reports angular deviations from expected locations, which are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iipsc","Angle","—","DE","180","not-published-in-source","no assigned degree per octant is printed; the article reports angular deviations from expected locations, which are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iipsc","Angle","—","FG","225","not-published-in-source","no assigned degree per octant is printed; the article reports angular deviations from expected locations, which are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iipsc","Angle","—","HI","270","not-published-in-source","no assigned degree per octant is printed; the article reports angular deviations from expected locations, which are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iipsc","Angle","—","JK","315","not-published-in-source","no assigned degree per octant is printed; the article reports angular deviations from expected locations, which are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iipsc","Angle","—","LM","360","not-published-in-source","no assigned degree per octant is printed; the article reports angular deviations from expected locations, which are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iipsc","Angle","—","NO","45","not-published-in-source","no assigned degree per octant is printed; the article reports angular deviations from expected locations, which are estimates (IP2)","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Population","1","—","American adults, national standardization sample, overall","not-published-in-source","the manual describes the sample in prose (p. 25) and prints no short population label","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","URL","1","—","https://www.mindgarden.com/113-inventory-of-interpersonal-problems","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Angle","—","PA","90","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Angle","—","BC","135","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Angle","—","DE","180","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Angle","—","FG","225","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Angle","—","HI","270","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Angle","—","JK","315","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Angle","—","LM","360","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Angle","—","NO","45","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Population","2","—","American adults, national standardization sample, females","not-published-in-source","the manual describes the sample in prose (p. 25) and prints no short population label","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","URL","2","—","https://www.mindgarden.com/113-inventory-of-interpersonal-problems","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","Population","3","—","American adults, national standardization sample, males","not-published-in-source","the manual describes the sample in prose (p. 25) and prints no short population label","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip32","URL","3","—","https://www.mindgarden.com/113-inventory-of-interpersonal-problems","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Population","1","—","American adults, national standardization sample, overall","not-published-in-source","the manual describes the sample in prose (p. 25) and prints no short population label","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","URL","1","—","https://www.mindgarden.com/113-inventory-of-interpersonal-problems","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Angle","—","PA","90","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Angle","—","BC","135","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Angle","—","DE","180","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Angle","—","FG","225","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Angle","—","HI","270","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Angle","—","JK","315","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Angle","—","LM","360","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Angle","—","NO","45","not-published-in-source","the manual prints no octant angles for either instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Population","2","—","American adults, national standardization sample, females","not-published-in-source","the manual describes the sample in prose (p. 25) and prints no short population label","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","URL","2","—","https://www.mindgarden.com/113-inventory-of-interpersonal-problems","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","Population","3","—","American adults, national standardization sample, males","not-published-in-source","the manual describes the sample in prose (p. 25) and prints no short population label","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
"iip64","URL","3","—","https://www.mindgarden.com/113-inventory-of-interpersonal-problems","not-published-in-source","the manual prints only www.mindgarden.com in its copyright line (p. 1); the shipped value is the publisher's product page for the instrument","not-published","not-published-in-source","2026-08-07","efac537c","efac537c"
